gene_class,symbol,geneid,samp1,samp2,samp3,samp4,samp5,samp6,samp7,samp8,samp9,samp10,samp11,samp12
Endogenous,IDH3A,NM_005530.2,1929,65,138,1527,140,32,128,88,155,110,190,146
Endogenous,JAK2,NM_004972.3,1289,56,134,665,83,107,87,103,95,37,108,145
Endogenous,LTA,NM_000595.2,5141,62,92,4654,116,33,138,79,447,204,160,274
Endogenous,ME2,NM_002396.3,1199,75,103,1017,76,37,79,72,139,99,132,130
Endogenous,MKI67,NM_002417.2,5007,150,344,2123,176,23,142,161,278,212,445,284
Endogenous,MSH2,NM_000251.1,1911,78,176,1288,121,39,107,89,181,103,168,165
Endogenous,MTF1,NM_005955.2,623,73,101,405,83,54,97,71,99,48,141,128
Endogenous,MYBL2,NM_002466.2,5076,107,264,3105,152,24,116,119,275,246,377,169
Endogenous,NCAPH,NM_015341.3,3650,93,200,2127,118,18,109,126,270,172,274,217
Endogenous,NDUFA2,NM_001185012.1,745,67,122,472,82,43,84,79,130,108,149,111
Endogenous,NFS1,NM_021100.3,836,56,145,611,93,44,97,66,111,76,151,127
Endogenous,NOD2,NM_001293557.1,69,71,112,53,113,59,100,73,148,47,172,112
Endogenous,OAT,NM_000274.3,844,69,86,567,82,36,84,73,101,74,147,114
Endogenous,PCK2,NM_004563.2,855,56,135,535,67,41,99,83,112,87,163,117
Endogenous,PDK1,NM_002610.3,413,56,102,214,54,52,53,72,108,38,119,97
Endogenous,PDK2,NM_002611.3,417,58,82,238,50,54,91,64,87,53,89,96
Endogenous,PGD,NM_002631.2,3302,90,217,2457,101,43,142,109,324,177,215,192
Endogenous,PGM2,NM_018290.3,1278,78,153,903,123,38,121,101,135,108,208,175
Endogenous,PLK1,NM_005030.3,3074,110,245,1887,127,28,85,112,182,206,308,129
Endogenous,PRIM1,NM_000946.2,1818,46,155,1145,88,56,73,78,118,87,137,99
Endogenous,PRIM2,NM_001282488.1,2602,101,279,1491,144,47,167,126,213,124,305,234
Endogenous,PRKAB1,NM_006253.4,911,82,142,606,87,31,105,90,141,98,169,118
Endogenous,PRKAG1,NM_002733.3,965,108,156,752,115,43,126,107,179,126,185,157
Endogenous,PRKAG2,NM_016203.3,432,85,205,258,129,35,130,95,208,104,215,183
Endogenous,PRPS1,NM_002764.3,603,61,114,499,83,38,82,99,83,55,117,96
Endogenous,PRR5,NM_015366.3,370,76,135,153,132,47,135,82,73,65,229,100
Endogenous,RRM1,NM_001033.3,2721,61,144,1623,60,21,89,90,171,124,167,130
Endogenous,SLC16A1,NM_003051.3,2379,92,99,1500,90,37,89,90,146,98,200,135
Endogenous,SLC16A7,NM_001270623.1,652,63,106,307,126,39,132,101,161,57,197,170
Endogenous,SOS2,NM_006939.2,525,55,114,319,96,38,94,93,119,65,119,143
Endogenous,TBK1,NM_013254.2,1167,96,269,768,174,45,180,142,198,128,306,249
Endogenous,TIMELESS,NM_003920.2,2371,55,154,1187,102,37,84,70,155,114,196,125
Endogenous,TK1,NM_003258.1,1554,59,176,1066,54,22,65,76,162,120,127,96
Endogenous,TPX2,NM_012112.4,2119,72,164,1246,94,14,63,94,164,149,227,120
Endogenous,TRAF6,NM_145803.2,421,58,117,209,93,53,97,103,110,39,147,160
Endogenous,UBE2C,NM_007019.2,5689,180,353,2815,194,30,150,156,367,302,427,247
Endogenous,UCK2,NM_012474.3,1478,58,83,1461,97,26,76,69,124,112,150,115
Endogenous,WASHC4,NM_015275.1,1084,68,171,648,115,47,112,133,181,86,237,243
Endogenous,WDR45,NM_007075.3,434,58,123,270,79,27,94,86,87,54,153,139
Endogenous,XCL1/2,NM_003175.3,584,150,507,935,77,3,136,135,356,270,123,176
Endogenous,ZNF708,NM_021269.2,470,52,75,221,76,51,81,71,78,38,133,114
Endogenous,ZNF91,NM_003430.2,577,78,107,308,122,45,146,114,118,59,190,183
Endogenous,ACAT1,NM_000019.3,1038,51,95,671,49,25,77,84,74,85,135,87
Endogenous,BRIP1,NM_032043.1,1923,54,100,933,68,10,49,57,114,57,130,102
Endogenous,BUB1B,NM_001211.4,2225,69,141,1016,50,24,75,89,144,80,140,105
Endogenous,CD8B,NM_172099.2,3627,254,273,1550,390,61,317,182,32,83,488,31
Endogenous,DERA,NM_015954.2,524,40,85,378,63,16,71,66,100,72,106,79
Endogenous,FNIP1,NM_001008738.2,937,61,119,448,76,35,107,100,140,38,130,127
Endogenous,GNS,NM_002076.3,541,49,101,300,65,53,69,67,90,50,91,102
Endogenous,GPX1,NM_000581.2,975,36,106,786,58,48,69,67,106,108,115,97
Endogenous,IDH1,NM_005896.3,495,36,95,378,84,25,76,57,79,61,127,122
Endogenous,KIF2C,NM_006845.3,2339,53,153,1262,72,21,49,55,115,85,143,87
Endogenous,MAPK8,NM_002750.2,924,44,67,821,52,21,61,62,92,52,95,88
Endogenous,MPC1,NM_016098.2,732,50,104,483,64,39,102,88,128,60,133,97
Endogenous,PDCD1,NM_005018.2,30,239,849,23,479,75,352,231,553,342,770,486
Endogenous,PDK3,NM_005391.1,681,55,165,518,74,33,81,35,88,77,129,95
Endogenous,PIK3R4,NM_014602.1,795,59,88,470,75,29,86,64,83,45,151,137
Endogenous,PPAT,NM_002703.3,1203,31,71,992,52,33,59,53,72,64,88,66
Endogenous,SCD,NM_005063.4,1247,63,65,1048,136,22,96,50,135,83,201,264
Endogenous,UBE2T,NM_014176.3,2682,48,119,2179,58,18,55,57,150,138,150,110
Endogenous,ASNS,NM_183356.2,528,40,59,436,64,101,79,49,57,48,72,87
Endogenous,CD276,NM_001024736.1,38,63,61,46,58,47,89,62,261,114,51,108
Endogenous,CENPA,NM_001042426.1,1782,37,129,978,55,6,46,51,116,96,144,68
