gene_class,symbol,geneid,samp1,samp2,samp3,samp4,samp5,samp6,samp7,samp8,samp9,samp10,samp11,samp12
Endogenous,CD7,NM_006137.6,3149,239,382,3251,314,47,382,222,371,938,223,57
Endogenous,CD8B,NM_172099.2,2581,315,291,2016,570,63,400,280,75,235,619,45
Endogenous,CDKN1A,NM_000389.2,2074,126,134,2455,57,22,151,264,839,571,180,294
Endogenous,CKAP5,NM_014756.2,1362,103,174,1266,147,38,104,162,411,440,254,244
Endogenous,DGLUCY,NM_001102369.2,552,64,168,506,173,41,152,139,326,291,272,246
Endogenous,EGR1,NM_001964.2,101,125,97,170,71,37,167,110,397,366,129,188
Endogenous,EOMES,NM_005442.2,60,82,77,83,238,26,121,87,164,127,272,142
Endogenous,FASLG,NM_000639.1,162,98,163,367,155,25,166,116,372,343,246,207
Endogenous,FH,NM_000143.2,2027,107,136,2073,124,50,126,128,304,272,205,152
Endogenous,FNIP1,NM_001008738.2,644,85,105,607,108,46,122,133,396,279,160,182
Endogenous,GNLY,NM_012483.3,144,89,104,325,88,20,175,95,103,142,134,65
Endogenous,GZMH,NM_033423.3,91,203,122,119,350,55,461,301,300,187,250,201
Endogenous,GZMM,NM_005317.2,361,142,101,245,173,45,175,158,277,222,189,187
Endogenous,HAVCR2,NM_032782.3,1854,408,414,2303,194,33,322,387,2442,765,301,501
Endogenous,HDAC8,NM_018486.2,491,57,150,597,130,54,129,123,289,278,180,199
Endogenous,HMGCR,NM_000859.2,599,57,86,641,111,33,103,83,327,292,145,160
Endogenous,ICAM1,NM_000201.2,391,79,113,642,91,19,125,108,496,408,136,186
Endogenous,ICOS,NM_012092.2,1238,184,290,1375,308,44,238,348,813,933,449,345
Endogenous,IDH3A,NM_005530.2,1730,97,165,1843,159,46,136,161,379,348,219,211
Endogenous,IFNGR1,NM_000416.2,440,95,117,540,201,50,183,189,431,427,237,319
Endogenous,JAK2,NM_004972.3,705,41,95,624,71,74,79,137,211,172,102,132
Endogenous,LAMTOR1,NM_017907.2,659,82,98,682,90,55,113,104,231,178,149,127
Endogenous,LTA,NM_000595.2,2974,76,102,5508,151,43,123,142,934,631,149,319
Endogenous,MAGED1,NM_006986.3,600,85,127,610,128,43,121,130,307,209,160,132
Endogenous,MFN2,NM_014874.3,810,96,146,870,127,52,130,138,388,315,195,166
Endogenous,MKI67,NM_002417.2,4523,251,466,3659,318,35,243,349,1001,1232,647,444
